add-s,2,3000,12000,600624,50,0
add-c,2,3000,12000,526057,43,0
add-none,2,10000,40000,517692,12,15
add-m,2,10000,40000,4477529,111,0
add-s,2,10000,40000,1970832,49,0
add-c,2,10000,40000,1672390,41,0
add-none,4,100,800,193265,241,0
add-m,4,100,800,214528,268,0
add-s,4,100,800,206506,258,0
add-c,4,100,800,199099,248,0
add-none,4,300,2400,195440,81,0
add-m,4,300,2400,586127,244,0
add-s,4,300,2400,179397,74,0
add-c,4,300,2400,184382,76,0
add-none,4,1000,8000,224173,28,3
add-m,4,1000,8000,1703836,212,0
add-s,4,1000,8000,1250799,156,0
add-c,4,1000,8000,502731,62,0
add-none,4,3000,24000,416962,17,6
add-m,4,3000,24000,4287326,178,0
add-s,4,3000,24000,4174821,173,0
add-c,4,3000,24000,1723407,71,0
add-none,4,10000,80000,1038209,12,21
add-m,4,10000,80000,16553376,206,0
add-s,4,10000,80000,12559070,156,0
add-c,4,10000,80000,4652330,58,0
add-none,8,100,1600,371525,232,0
add-m,8,100,1600,352500,220,0
add-s,8,100,1600,304360,190,0
add-c,8,100,1600,320602,200,0
add-none,8,300,4800,289555,60,0
add-m,8,300,4800,1140052,237,0
add-s,8,300,4800,1748071,364,0
add-c,8,300,4800,342114,71,0
add-none,8,1000,16000,1488886,93,3
add-m,8,1000,16000,3725222,232,0
add-s,8,1000,16000,4619382,288,0
add-c,8,1000,16000,1239727,77,0
add-none,8,3000,48000,717257,14,5
add-m,8,3000,48000,10447475,217,0
add-s,8,3000,48000,15721872,327,0
add-c,8,3000,48000,3379577,70,0
add-none,8,10000,160000,2058924,12,33
add-m,8,10000,160000,33712900,210,0
add-s,8,10000,160000,47672765,297,0
add-c,8,10000,160000,11678207,72,0
add-none,12,100,2400,423222,176,0
add-m,12,100,2400,398753,166,0
add-s,12,100,2400,390881,162,0
add-c,12,100,2400,398808,166,0
add-none,12,300,7200,410271,56,0
add-m,12,300,7200,1644118,228,0
add-s,12,300,7200,3483070,483,0
add-c,12,300,7200,677177,94,0
add-none,12,1000,24000,446014,18,4
add-m,12,1000,24000,5207831,216,0
add-s,12,1000,24000,10905136,454,0
add-c,12,1000,24000,2058656,85,0
add-none,12,3000,72000,1046101,14,4
add-m,12,3000,72000,16065945,223,0
add-s,12,3000,72000,37192151,516,0
add-c,12,3000,72000,5685842,78,0
add-none,12,10000,240000,2940687,12,36
add-m,12,10000,240000,52287000,217,0
add-s,12,10000,240000,121307854,505,0
add-c,12,10000,240000,18747456,78,0
